AAT_ECOLI   0.49  0.29  0.48  0.50  0.56  0.24  0.35   cp
ACEA_ECOLI  0.07  0.40  0.48  0.50  0.54  0.35  0.44   cp
ACEK_ECOLI  0.56  0.40  0.48  0.50  0.49  0.37  0.46   cp
ACKA_ECOLI  0.59  0.49  0.48  0.50  0.52  0.45  0.36   cp
ADI_ECOLI   0.23  0.32  0.48  0.50  0.55  0.25  0.35   cp
ALKH_ECOLI  0.67  0.39  0.48  0.50  0.36  0.38  0.46   cp
AMPD_ECOLI  0.29  0.28  0.48  0.50  0.44  0.23  0.34   cp
AMY2_ECOLI  0.21  0.34  0.48  0.50  0.51  0.28  0.39   cp
APT_ECOLI   0.20  0.44  0.48  0.50  0.46  0.51  0.57   cp
ARAC_ECOLI  0.42  0.40  0.48  0.50  0.56  0.18  0.30   cp
ASG1_ECOLI  0.42  0.24  0.48  0.50  0.57  0.27  0.37   cp
BTUR_ECOLI  0.25  0.48  0.48  0.50  0.44  0.17  0.29   cp
CAFA_ECOLI  0.39  0.32  0.48  0.50  0.46  0.24  0.35   cp
CAIB_ECOLI  0.51  0.50  0.48  0.50  0.46  0.32  0.35   cp
CFA_ECOLI   0.22  0.43  0.48  0.50  0.48  0.16  0.28   cp
CHEA_ECOLI  0.25  0.40  0.48  0.50  0.46  0.44  0.52   cp
CHEB_ECOLI  0.34  0.45  0.48  0.50  0.38  0.24  0.35   cp
CHEW_ECOLI  0.44  0.27  0.48  0.50  0.55  0.52  0.58   cp
CHEY_ECOLI  0.23  0.40  0.48  0.50  0.39  0.28  0.38   cp
CHEZ_ECOLI  0.41  0.57  0.48  0.50  0.39  0.21  0.32   cp
CRL_ECOLI   0.40  0.45  0.48  0.50  0.38  0.22  0.00   cp
CSPA_ECOLI  0.31  0.23  0.48  0.50  0.73  0.05  0.14   cp
CYNR_ECOLI  0.51  0.54  0.48  0.50  0.41  0.34  0.43   cp
CYPB_ECOLI  0.30  0.16  0.48  0.50  0.56  0.11  0.23   cp
CYPC_ECOLI  0.36  0.39  0.48  0.50  0.48  0.22  0.23   cp
CYSB_ECOLI  0.29  0.37  0.48  0.50  0.48  0.44  0.52   cp
CYSE_ECOLI  0.25  0.40  0.48  0.50  0.47  0.33  0.42   cp
DAPD_ECOLI  0.21  0.51  0.48  0.50  0.50  0.32  0.41   cp
DCP_ECOLI   0.43  0.37  0.48  0.50  0.53  0.35  0.44   cp
DDLA_ECOLI  0.43  0.39  0.48  0.50  0.47  0.31  0.41   cp
SPEA_ECOLI  0.29  0.39  0.48  0.50  0.52  0.40  0.48   pp
SUBI_ECOLI  0.62  0.83  0.48  0.50  0.46  0.36  0.40   pp
TBPA_ECOLI  0.56  0.54  0.48  0.50  0.43  0.37  0.30   pp
TESA_ECOLI  0.69  0.66  0.48  0.50  0.41  0.50  0.25   pp
TOLB_ECOLI  0.69  0.65  0.48  0.50  0.63  0.48  0.41   pp
TORA_ECOLI  0.43  0.59  0.48  0.50  0.52  0.49  0.56   pp
TREA_ECOLI  0.74  0.56  0.48  0.50  0.47  0.68  0.30   pp
UGPB_ECOLI  0.71  0.57  0.48  0.50  0.48  0.35  0.32   pp
USHA_ECOLI  0.61  0.60  0.48  0.50  0.44  0.39  0.38   pp
XYLF_ECOLI  0.59  0.61  0.48  0.50  0.42  0.42  0.37   pp
YTFQ_ECOLI  0.74  0.74  0.48  0.50  0.31  0.53  0.52   pp
NHAB_ECOLI  0.70  0.46  0.48  0.50  0.56  0.78  0.73   im
PHEP_ECOLI  0.12  0.43  0.48  0.50  0.63  0.70  0.74   im
PHOR_ECOLI  0.61  0.52  0.48  0.50  0.54  0.67  0.52   im
PNTA_ECOLI  0.33  0.37  0.48  0.50  0.46  0.65  0.69   im
POTE_ECOLI  0.63  0.65  0.48  0.50  0.66  0.67  0.71   im
PROP_ECOLI  0.41  0.51  0.48  0.50  0.53  0.75  0.78   im
